#Shape95%
-72,69
-71,69
-70,69
-69,69
-68,69
-67,69
-66,69
-65,69
-64,69
-63,69
-62,69
-61,69
-60,69
-59,69
-58,69
-57,69
-56,69
-55,69
-54,69
-53,69
-52,69
-51,69
-50,69
-49,69
57,69
58,69
59,69
60,69
61,69
62,69
63,69
64,69
65,69
66,69
67,69
68,69
69,69
70,69
71,69
72,69
73,69
74,69
75,69
76,69
-72,68
-49,68
56,68
77,68
-72,67
-49,67
55,67
78,67
-72,66
-49,66
54,66
79,66
-72,65
-49,65
53,65
80,65
-72,64
-49,64
52,64
81,64
-72,63
-49,63
52,63
81,63
-72,62
-49,62
52,62
81,62
-72,61
-49,61
52,61
81,61
-72,60
-49,60
52,60
81,60
-72,59
-49,59
52,59
81,59
-72,58
-49,58
52,58
81,58
-72,57
-49,57
52,57
81,57
-72,56
-49,56
52,56
81,56
-72,55
-49,55
52,55
81,55
-72,54
-49,54
52,54
81,54
-72,53
-49,53
52,53
81,53
-72,52
-49,52
52,52
81,52
-72,51
-49,51
52,51
81,51
-72,50
-49,50
52,50
81,50
-72,49
-49,49
52,49
81,49
-72,48
-49,48
52,48
81,48
-72,47
-49,47
52,47
81,47
-72,46
-71,46
-70,46
-69,46
-68,46
-67,46
-66,46
-65,46
-64,46
-63,46
-62,46
-61,46
-60,46
-59,46
-58,46
-57,46
-56,46
-55,46
-54,46
-53,46
-52,46
-51,46
-50,46
-49,46
52,46
81,46
52,45
81,45
53,44
80,44
54,43
79,43
55,42
78,42
56,41
77,41
57,40
58,40
59,40
60,40
61,40
62,40
63,40
64,40
65,40
66,40
67,40
68,40
69,40
70,40
71,40
72,40
73,40
74,40
75,40
76,40
-68,-45
-67,-45
-66,-45
-65,-45
-64,-45
-63,-45
-62,-45
-61,-45
-60,-45
-59,-45
-58,-45
-57,-45
-56,-45
-55,-45
-54,-45
-53,-45
-52,-45
-51,-45
-50,-45
-49,-45
-69,-46
-48,-46
54,-46
55,-46
56,-46
57,-46
58,-46
59,-46
60,-46
61,-46
62,-46
63,-46
64,-46
65,-46
66,-46
67,-46
68,-46
69,-46
70,-46
71,-46
72,-46
73,-46
74,-46
75,-46
76,-46
77,-46
-70,-47
-47,-47
54,-47
77,-47
-71,-48
-46,-48
54,-48
77,-48
-72,-49
-45,-49
54,-49
